Name	MOA	Target	Disease Area	Indication	Vendor	Purity	Id	Phase
[sar9,met(o2)11]-substance-p	tachykinin antagonist	TACR1			Tocris	0	BRD-K89787693-001-01-1	Preclinical
A-1070722	glycogen synthase kinase inhibitor	GSK3A, GSK3B			Tocris	97.36	BRD-K70329400-001-02-5	Preclinical
A-1120	retinoid receptor ligand	RBP4			Tocris	83.72	BRD-K59060513-001-02-5	Preclinical
A-317491	purinergic receptor antagonist	P2RX3			MedChemEx, MedChemEx	98.69	BRD-K38019854-323-01-4, BRD-K38019854-001-01-6	Preclinical
A-33903					Maybridge	96.18	BRD-A40302156-001-01-9	Phase 2
A-366	histone lysine methyltransferase inhibitor	EHMT1, EHMT2			MedChemEx, Tocris, MedChemEx, MedChemEx, Tocris	87.35	BRD-K06182768-001-06-4, BRD-K06182768-001-02-3, BRD-K06182768-001-03-1, BRD-K06182768-001-01-5, BRD-K06182768-001-04-9	Preclinical
A-412997	dopamine receptor agonist	DRD4			Tocris	95.39	BRD-K62066682-300-01-0	Preclinical
A-438079	purinergic receptor antagonist	P2RX7			Tocris	93.4	BRD-K13223831-003-01-7	Preclinical
A-582941	nicotinic receptor agonist	CHRNA7			Tocris	84.25	BRD-K79743788-001-01-2	Preclinical
A-61603	adrenergic receptor agonist	ADRA1A, ADRA1B, ADRA1D			Tocris	96.39	BRD-K13142315-004-01-2	Preclinical
A-674563	AKT inhibitor	AKT1, PKIA, PRKACA			Selleck	96.74	BRD-K78177893-001-02-4	Preclinical
A-7	calmodulin antagonist				Tocris, Tocris	92.44	BRD-K03301001-003-03-3, BRD-K03301001-003-02-5	Preclinical
A-769662	AMPK activator				Tocris, Selleck	90.56	BRD-K41918892-001-06-7, BRD-K41918892-001-05-9	Preclinical
A-784168	transient receptor potential channel antagonist	TRPV1			Tocris	90.02	BRD-K87665527-001-01-3	Preclinical
A-803467	sodium channel blocker	SCN10A			Selleck, Tocris	97.96	BRD-K28570407-001-02-0, BRD-K28570407-001-04-6	Preclinical
A-804598	purinergic receptor antagonist	P2RX7			Tocris	93.16	BRD-K76894955-001-02-1	Preclinical
A-839977	purinergic receptor antagonist	P2RX7			Tocris	92.75	BRD-K60427831-001-01-0	Preclinical
A-867744	acetylcholine receptor allosteric modulator	CHRNA3, CHRNA4, CHRNA7			Tocris	95.81	BRD-K33059059-001-01-0	Preclinical
A-887826	sodium channel blocker	SCN10A			Tocris	91.61	BRD-K20239555-001-01-2	Preclinical
A-922500	diacylglycerol O acyltransferase inhibitor	DGAT1			Tocris	96.89	BRD-K81614372-001-02-1	Preclinical
A-939572	stearoyl-CoA desaturase inhibitor	SCD			Tocris	94.18	BRD-K99308908-001-01-5	Preclinical
A-967079	transient receptor potential channel antagonist	TRPA1			Tocris	97.41	BRD-K70744942-001-01-2	Preclinical
A-987306	histamine receptor antagonist	ADORA1, AVPR1A, CCR1, CHRM1, CHRM2, CHRM3, CHRM4, DRD3, HTR1A, HTR1B, HTR2A, HTR2B, HTR3A, TACR2			Tocris	86.49	BRD-K68982262-001-01-4	Preclinical
AA-29504	GABA receptor positive allosteric modulator	GABRA1, GABRA4, GABRB3			Tocris	19.95	BRD-K13944729-001-01-7	Preclinical
abacavir	nucleoside reverse transcriptase inhibitor		infectious disease	human immunodeficiency virus (HIV-1)	Tocris, Selleck, MicroSource	98.81	BRD-K17443395-065-03-0, BRD-K17443395-065-01-4, BRD-K17443395-065-02-2	Launched
abafungin	sterol methyltransferase inhibitor				ChemImpex	92.48	BRD-K77432251-001-01-2	Phase 3
abamectin	benzodiazepine receptor agonist	GABBR1, GABBR2	infectious disease	gastrointestinal parasites	MicroSource	61	BRD-A25579302-001-04-8	Launched
abametapir	metalloproteinase inhibitor	MMP9			Sigma	92.8	BRD-K65498798-001-01-7	Phase 3
ABC-294640	sphingosine kinase inhibitor	SPHK2			Enzo, Selleck	99.82	BRD-A70814879-003-02-6, BRD-A70814879-001-01-2	Phase 1/Phase 2
abemaciclib	CDK inhibitor	CDK4, CDK6	oncology	breast cancer	Selleck	94.43	BRD-K33622447-066-01-9	Launched
abiraterone	androgen biosynthesis inhibitor	CYP11B1, CYP17A1	oncology	prostate cancer	Selleck	92.23	BRD-K50071428-001-03-3	Launched
abiraterone-acetate	androgen biosynthesis inhibitor	CYP17A1	oncology	prostate cancer	Selleck, Selleck	98.65	BRD-K24048528-001-01-7, BRD-K24048528-001-02-5	Launched
ABT-202	acetylcholine receptor agonist				Enamine	88.87	BRD-A29844814-300-01-5	Phase 1
ABT-239	histamine receptor antagonist	HRH1, HRH2, HRH3			Axon	99.38	BRD-K22749967-046-02-3	Phase 1
ABT-491	platelet activating factor receptor antagonist	PTAFR			EMDBio	93.81	BRD-K97233161-003-01-5	Phase 1
