algos	cor	nalgo
AliGebily:Ardavel	0.582720966700427	2
AliGebily:balajipro	0.578720343039858	2
AliGebily:benchmark	0.569336120041721	2
AliGebily:gardn999	0.586226727842776	2
AliGebily:LastEmperor	0.579802296890986	2
AliGebily:mkagenius	0.577935300478352	2
AliGebily:mvaudel	0.575425308506504	2
AliGebily:Ramzes2	0.579391422615049	2
AliGebily:vladaburian	0.578678700225786	2
Ardavel:balajipro	0.579280000359074	2
Ardavel:benchmark	0.573014413227299	2
Ardavel:gardn999	0.592248164808751	2
Ardavel:LastEmperor	0.583600413375052	2
Ardavel:mkagenius	0.579345117794412	2
Ardavel:mvaudel	0.578127421228823	2
Ardavel:Ramzes2	0.585226134613566	2
Ardavel:vladaburian	0.579972760435939	2
balajipro:benchmark	0.567087658795515	2
balajipro:gardn999	0.587344964399648	2
balajipro:LastEmperor	0.575051562157637	2
balajipro:mkagenius	0.572805069270319	2
balajipro:mvaudel	0.569599949551246	2
balajipro:Ramzes2	0.581385627025116	2
balajipro:vladaburian	0.572955747619128	2
benchmark:gardn999	0.576789314421058	2
benchmark:LastEmperor	0.569028655555195	2
benchmark:mkagenius	0.564142364369864	2
benchmark:mvaudel	0.563973674934316	2
benchmark:Ramzes2	0.572928504875556	2
benchmark:vladaburian	0.570740544388909	2
gardn999:LastEmperor	0.588760870981897	2
gardn999:mkagenius	0.590853115035057	2
gardn999:mvaudel	0.581347187507525	2
gardn999:Ramzes2	0.589978919485771	2
gardn999:vladaburian	0.586051565666862	2
LastEmperor:mkagenius	0.573657096436664	2
LastEmperor:mvaudel	0.572046889212872	2
LastEmperor:Ramzes2	0.582087548948415	2
LastEmperor:vladaburian	0.577522150818139	2
mkagenius:mvaudel	0.567448010730055	2
mkagenius:Ramzes2	0.581689770652753	2
mkagenius:vladaburian	0.575471874401811	2
mvaudel:Ramzes2	0.578658619660432	2
mvaudel:vladaburian	0.570638311401692	2
Ramzes2:vladaburian	0.57941246388062	2
AliGebily:Ardavel:balajipro	0.580709224842435	3
AliGebily:Ardavel:benchmark	0.572215811931315	3
AliGebily:Ardavel:gardn999	0.593283388791903	3
AliGebily:Ardavel:LastEmperor	0.58142889445245	3
AliGebily:Ardavel:mkagenius	0.572344723079261	3
AliGebily:Ardavel:mvaudel	0.576615425170064	3
AliGebily:Ardavel:Ramzes2	0.583350712930831	3
AliGebily:Ardavel:vladaburian	0.578115202659683	3
AliGebily:balajipro:benchmark	0.568982840090509	3
AliGebily:balajipro:gardn999	0.592353117382002	3
AliGebily:balajipro:LastEmperor	0.576251207929018	3
AliGebily:balajipro:mkagenius	0.571454695922057	3
AliGebily:balajipro:mvaudel	0.573132119796257	3
AliGebily:balajipro:Ramzes2	0.582776850191774	3
AliGebily:balajipro:vladaburian	0.576461551927458	3
AliGebily:benchmark:gardn999	0.584241102556342	3
AliGebily:benchmark:LastEmperor	0.572244221952307	3
AliGebily:benchmark:mkagenius	0.570606874975026	3
AliGebily:benchmark:mvaudel	0.565283064001299	3
AliGebily:benchmark:Ramzes2	0.576417994540505	3
AliGebily:benchmark:vladaburian	0.572016789395181	3
AliGebily:gardn999:LastEmperor	0.5924290803218	3
AliGebily:gardn999:mkagenius	0.57678596743107	3
AliGebily:gardn999:mvaudel	0.58877735017288	3
AliGebily:gardn999:Ramzes2	0.590109747964051	3
AliGebily:gardn999:vladaburian	0.587790731471232	3
AliGebily:LastEmperor:mkagenius	0.571374048765625	3
AliGebily:LastEmperor:mvaudel	0.573558207998463	3
AliGebily:LastEmperor:Ramzes2	0.584900940757025	3
AliGebily:LastEmperor:vladaburian	0.578023170740375	3
AliGebily:mkagenius:mvaudel	0.572791246760208	3
AliGebily:mkagenius:Ramzes2	0.573470548741994	3
AliGebily:mkagenius:vladaburian	0.573116278511779	3
AliGebily:mvaudel:Ramzes2	0.583921707196955	3
AliGebily:mvaudel:vladaburian	0.572746418782665	3
AliGebily:Ramzes2:vladaburian	0.579594843868013	3
Ardavel:balajipro:benchmark	0.582490016496056	3
Ardavel:balajipro:gardn999	0.581701568761125	3
Ardavel:balajipro:LastEmperor	0.578390694921915	3
Ardavel:balajipro:mkagenius	0.575644012288061	3
Ardavel:balajipro:mvaudel	0.579176331899308	3
Ardavel:balajipro:Ramzes2	0.582269176763176	3
Ardavel:balajipro:vladaburian	0.580057449780012	3
Ardavel:benchmark:gardn999	0.582023987308449	3
Ardavel:benchmark:LastEmperor	0.583607369203884	3
Ardavel:benchmark:mkagenius	0.569067047611171	3
Ardavel:benchmark:mvaudel	0.578473744610529	3
Ardavel:benchmark:Ramzes2	0.579044014881935	3
Ardavel:benchmark:vladaburian	0.579233801934625	3
Ardavel:gardn999:LastEmperor	0.582107302992306	3
Ardavel:gardn999:mkagenius	0.589672581657426	3
Ardavel:gardn999:mvaudel	0.580273018099528	3
Ardavel:gardn999:Ramzes2	0.59562709817557	3
Ardavel:gardn999:vladaburian	0.584798102408141	3
Ardavel:LastEmperor:mkagenius	0.578429791413934	3
Ardavel:LastEmperor:mvaudel	0.577650715814774	3
Ardavel:LastEmperor:Ramzes2	0.582658935047693	3
Ardavel:LastEmperor:vladaburian	0.584451648606226	3
Ardavel:mkagenius:mvaudel	0.569875342750147	3
Ardavel:mkagenius:Ramzes2	0.581612008649025	3
Ardavel:mkagenius:vladaburian	0.574148596623094	3
Ardavel:mvaudel:Ramzes2	0.579922400420957	3
Ardavel:mvaudel:vladaburian	0.580992850618434	3
Ardavel:Ramzes2:vladaburian	0.581905349654612	3
balajipro:benchmark:gardn999	0.577855747924202	3
balajipro:benchmark:LastEmperor	0.577861664298012	3
balajipro:benchmark:mkagenius	0.561334193379115	3
balajipro:benchmark:mvaudel	0.574474045186712	3
balajipro:benchmark:Ramzes2	0.575839595248944	3
balajipro:benchmark:vladaburian	0.574875184884961	3
balajipro:gardn999:LastEmperor	0.577887985152256	3
balajipro:gardn999:mkagenius	0.588698450807203	3
balajipro:gardn999:mvaudel	0.571577628292256	3
balajipro:gardn999:Ramzes2	0.593591843838671	3
balajipro:gardn999:vladaburian	0.577883607295076	3
balajipro:LastEmperor:mkagenius	0.572417934588717	3
balajipro:LastEmperor:mvaudel	0.575482415919091	3
balajipro:LastEmperor:Ramzes2	0.576516515529957	3
balajipro:LastEmperor:vladaburian	0.577364222286739	3
balajipro:mkagenius:mvaudel	0.565495414671225	3
balajipro:mkagenius:Ramzes2	0.57957471326224	3
balajipro:mkagenius:vladaburian	0.568425718542979	3
balajipro:mvaudel:Ramzes2	0.574865901733056	3
balajipro:mvaudel:vladaburian	0.576589312999737	3
balajipro:Ramzes2:vladaburian	0.579701790137327	3
benchmark:gardn999:LastEmperor	0.578405573095332	3
benchmark:gardn999:mkagenius	0.582467540115503	3
benchmark:gardn999:mvaudel	0.575982668765121	3
benchmark:gardn999:Ramzes2	0.591014308302348	3
benchmark:gardn999:vladaburian	0.57761881713508	3
benchmark:LastEmperor:mkagenius	0.564528800022596	3
benchmark:LastEmperor:mvaudel	0.574471024209345	3
benchmark:LastEmperor:Ramzes2	0.576470047956283	3
benchmark:LastEmperor:vladaburian	0.576583748352216	3
benchmark:mkagenius:mvaudel	0.559886555158502	3
benchmark:mkagenius:Ramzes2	0.574988250725301	3
benchmark:mkagenius:vladaburian	0.56850218640932	3
benchmark:mvaudel:Ramzes2	0.573677473559695	3
benchmark:mvaudel:vladaburian	0.572312856660241	3
benchmark:Ramzes2:vladaburian	0.575074085006844	3
gardn999:LastEmperor:mkagenius	0.589292255244625	3
gardn999:LastEmperor:mvaudel	0.573744462451125	3
gardn999:LastEmperor:Ramzes2	0.593811069052935	3
gardn999:LastEmperor:vladaburian	0.580165356663171	3
gardn999:mkagenius:mvaudel	0.588109472676314	3
gardn999:mkagenius:Ramzes2	0.590096173641526	3
gardn999:mkagenius:vladaburian	0.585557247216995	3
gardn999:mvaudel:Ramzes2	0.593330198186704	3
gardn999:mvaudel:vladaburian	0.578944776624964	3
gardn999:Ramzes2:vladaburian	0.591258623231805	3
LastEmperor:mkagenius:mvaudel	0.565466390824205	3
LastEmperor:mkagenius:Ramzes2	0.579847409372387	3
LastEmperor:mkagenius:vladaburian	0.571682227269228	3
LastEmperor:mvaudel:Ramzes2	0.573614972456525	3
LastEmperor:mvaudel:vladaburian	0.575671512475833	3
LastEmperor:Ramzes2:vladaburian	0.580234874370926	3
