algos	auc	nalgo	pr
AliGebily:Ardavel	0.937801891203838	2	0.815374378959003
AliGebily:balajipro	0.934908333895539	2	0.81301260526212
AliGebily:benchmark	0.928030207632955	2	0.776217253170041
AliGebily:gardn999	0.935918616611089	2	0.815693724798675
AliGebily:LastEmperor	0.933048107478986	2	0.808931877954396
AliGebily:mkagenius	0.934993395714907	2	0.785397607648301
AliGebily:mvaudel	0.932178619354009	2	0.790406160660369
AliGebily:Ramzes2	0.93407275928463	2	0.78452206916793
AliGebily:vladaburian	0.933548748154362	2	0.798646916079587
Ardavel:balajipro	0.934359986715323	2	0.830115830019362
Ardavel:benchmark	0.930748882518549	2	0.79576069396248
Ardavel:gardn999	0.939443138240823	2	0.840695162486593
Ardavel:LastEmperor	0.932025078896925	2	0.826247656370307
Ardavel:mkagenius	0.936377341239711	2	0.803924250743426
Ardavel:mvaudel	0.932478678124643	2	0.80915614305971
Ardavel:Ramzes2	0.937513012043559	2	0.803432773399269
Ardavel:vladaburian	0.93577308038117	2	0.82059629764936
balajipro:benchmark	0.926786006561238	2	0.78926435904701
balajipro:gardn999	0.934434222554221	2	0.832599773747547
balajipro:LastEmperor	0.921943967859358	2	0.808695997636243
balajipro:mkagenius	0.931873276639821	2	0.79633514279452
balajipro:mvaudel	0.928391907743758	2	0.804520684782767
balajipro:Ramzes2	0.935342064681569	2	0.800903090328122
balajipro:vladaburian	0.93348810864292	2	0.820092510707197
benchmark:gardn999	0.930258550448272	2	0.798140493385592
benchmark:LastEmperor	0.924072611766246	2	0.783146411869413
benchmark:mkagenius	0.927635848297176	2	0.767733646381457
benchmark:mvaudel	0.924877871262448	2	0.774518082018934
benchmark:Ramzes2	0.928472972803123	2	0.770497847090993
benchmark:vladaburian	0.925731801160733	2	0.777907004562947
gardn999:LastEmperor	0.929843697835576	2	0.825212585314313
gardn999:mkagenius	0.935798290953261	2	0.805601996796314
gardn999:mvaudel	0.934796769185588	2	0.819706304942261
gardn999:Ramzes2	0.93653542350759	2	0.804690399365753
gardn999:vladaburian	0.936863045852777	2	0.827717324933407
LastEmperor:mkagenius	0.928377963956923	2	0.790759868413621
LastEmperor:mvaudel	0.92598581470486	2	0.802180482567126
LastEmperor:Ramzes2	0.932886270618873	2	0.796098014277394
LastEmperor:vladaburian	0.930947210455304	2	0.815615106537597
mkagenius:mvaudel	0.929556039226444	2	0.774827761773983
mkagenius:Ramzes2	0.93487339715491	2	0.779227186599968
mkagenius:vladaburian	0.933012424794953	2	0.78729456944509
mvaudel:Ramzes2	0.932672692958205	2	0.781254037431748
mvaudel:vladaburian	0.930792636293432	2	0.797569633653958
Ramzes2:vladaburian	0.933747278786063	2	0.787518887472666
AliGebily:Ardavel:balajipro	0.939328747992621	3	0.841275518216549
AliGebily:Ardavel:benchmark	0.93726784083022	3	0.813788318102279
AliGebily:Ardavel:gardn999	0.941294289723861	3	0.843637672770254
AliGebily:Ardavel:LastEmperor	0.94087733859236	3	0.842439136860434
AliGebily:Ardavel:mkagenius	0.939730513052124	3	0.819350968373477
